Canefrost Inventory Final
Canefrost Inventory Upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Name,Category,Size,Type,MRP,Cost,Price,Barcode,Stock unit,Tax type,GST%,Inclusive/Exclusive,Stock Count,,,,,,,,,,,,,,,,
POMEGRANATE ,Cane Blend,500ml,Tropical,120,,120,CFRST52,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
STRAWBERRY ,Cane Blend,500ml,Berries,140,,140,CFRST53,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
TENDER COCONUT 500ml,Cane Blend,500ml,Spiced/Herbal/Others,120,,120,CFRST54,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATERMELON ,Cane Blend,500ml,Spiced/Herbal/Others,80,,80,CFRST55,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
BLUEBERRY ,Cane Fusion,500ml,Berries,200,,200,CFRST56,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
DRAGON FRUIT ,Cane Fusion,500ml,Tropical,160,,160,CFRST57,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
FIG ,Cane Fusion,500ml,Tropical,160,,160,CFRST58,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GRAPES ,Cane Fusion,500ml,Spiced/Herbal/Others,160,,160,CFRST59,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ICE APPLE ,Cane Fusion,500ml,Tropical,210,,210,CFRST60,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JAMUN ,Cane Fusion,500ml,Berries,160,,160,CFRST61,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MOSAMBI ,Cane Fusion,500ml,Citrus,150,,150,CFRST62,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ORANGE ,Cane Fusion,500ml,Citrus,180,,180,CFRST63,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
PINEAPPLE ,Cane Fusion,500ml,Tropical,160,,160,CFRST64,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
POMEGRANATE ,Cane Fusion,500ml,Tropical,200,,200,CFRST65,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
STRAWBERRY ,Cane Fusion,500ml,Berries,200,,200,CFRST66,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATERMELON ,Cane Fusion,500ml,Spiced/Herbal/Others,160,,160,CFRST67,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ALMOND & CASHEW,Cane Pops,60ml,Spiced/Herbal/Others,30,,30,CFRST68,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
AVOCADO ,Cane Pops,60ml,Tropical,25,,25,CFRST69,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
CHOCO CHIPS ,Cane Pops,60ml,Spiced/Herbal/Others,15,,15,CFRST70,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
COFFEE ,Cane Pops,60ml,Spiced/Herbal/Others,20,,20,CFRST71,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
DRAGON ,Cane Pops,60ml,Spiced/Herbal/Others,20,,20,CFRST72,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
FIG ,Cane Pops,60ml,Tropical,20,,20,CFRST73,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GOOSEBERRY ,Cane Pops,60ml,Spiced/Herbal/Others,20,,20,CFRST74,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GRAPES ,Cane Pops,60ml,Spiced/Herbal/Others,20,,20,CFRST75,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GUAVA ,Cane Pops,60ml,Tropical,20,,20,CFRST76,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JAMUN ,Cane Pops,60ml,Berries,20,,20,CFRST77,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JUSTCANE ,Cane Pops,60ml,Spiced/Herbal/Others,10,,10,CFRST78,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
LEMON & GINGER ,Cane Pops,60ml,Citrus,15,,15,CFRST79,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MUSKMELON ,Cane Pops,60ml,Spiced/Herbal/Others,20,,20,CFRST80,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ORANGE ,Cane Pops,60ml,Citrus,20,,20,CFRST81,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
PINEAPPLE ,Cane Pops,60ml,Tropical,20,,20,CFRST82,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
POMEGRANATE ,Cane Pops,60ml,Tropical,20,,20,CFRST83,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
STRAWBERRY ,Cane Pops,60ml,Berries,20,,20,CFRST84,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
TENDER COCONUT ,Cane Pops,60ml,Spiced/Herbal/Others,25,,25,CFRST85,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATERMELON ,Cane Pops,60ml,Spiced/Herbal/Others,20,,20,CFRST86,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATERMELON BLAST,Special,-,Spiced/Herbal/Others,350,,350,CFRST87,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MUSKMELON BLAST,Special,-,Spiced/Herbal/Others,130,,130,CFRST88,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
TENDER COCONUT 50,Others,-,Spiced/Herbal/Others,50,,50,CFRST89,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
TENDER COCONUT 90,Others,-,Spiced/Herbal/Others,90,,90,CFRST90,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATER BOTTLE 1 LITRE,Others,1L,Spiced/Herbal/Others,20,,20,CFRST91,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATER BOTTLE 500ML,Others,500ml,Spiced/Herbal/Others,10,,10,CFRST92,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
PEANUT BARFI,Others,-,Spiced/Herbal/Others,5,,5,CFRST93,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
PACKAGING CHARGE,Others,-,Spiced/Herbal/Others,10,,10,CFRST94,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
